Category: ALL
Cores: 10
Subjects: 212
Training set size: 211
Testing set size: 1
Lambda coefficient: 0.0
Matrix: D
Binary matrix: no
Iterations per patient: 3000000
Folds: 212
Elapsed time for training (s): 13424.82
Total time (s): 13523.03
+---------------+-------------+------------------+-----------------+
| Avg MSE test  | SD MSE test | Avg Pearson test | SD Pearson test |
+---------------+-------------+------------------+-----------------+
|     0.0071    |     0.02    |      0.8815      |       0.19      |
+---------------+-------------+------------------+-----------------+
+--------------------------------------------------------------+---------------+-------------------+
|                              ID                              | Avg MSE train | Avg Pearson train |
+--------------------------------------------------------------+---------------+-------------------+
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD4009/  |     0.0021    |       0.9188      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD4089/  |     0.0016    |       0.9438      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD4136/  |     0.001     |       0.9353      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD4215/  |     0.0005    |       0.9666      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD4494/  |     0.0007    |       0.9691      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD4500/  |     0.0016    |       0.9598      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD4568/  |     0.0003    |       0.9718      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD4591/  |     0.0012    |       0.9491      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD4686/  |     0.002     |       0.9616      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6013/  |     0.0005    |       0.9838      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6100/  |     0.0007    |       0.9706      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6142/  |     0.0005    |       0.977       |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6179/  |     0.0023    |       0.9384      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6216/  |     0.003     |       0.9599      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6264/  |     0.0011    |       0.9173      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6347/  |     0.0015    |       0.9748      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6377/  |     0.0017    |       0.9485      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6389/  |     0.0009    |       0.9365      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6433/  |     0.0008    |       0.959       |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6549/  |     0.0013    |       0.916       |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6683/  |     0.0008    |       0.9664      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6721/  |     0.0013    |       0.965       |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6784/  |     0.0015    |       0.9463      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-AD6796/  |     0.0009    |       0.9603      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0031/  |     0.001     |       0.9078      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0074/  |     0.0009    |       0.9623      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0120/  |     0.0019    |       0.9347      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0337/  |     0.0026    |       0.9392      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0419/  |     0.001     |       0.9357      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0602/  |     0.0009    |       0.9358      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0610/  |     0.0013    |       0.9573      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0751/  |     0.0012    |       0.9572      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1190/  |     0.0017    |       0.797       |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1261/  |     0.0009    |       0.967       |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1280/  |     0.0013    |       0.9615      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4081/  |     0.0015    |       0.9637      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4084/  |     0.0403    |       0.2666      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4105/  |     0.0017    |       0.9659      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4119/  |     0.0028    |       0.9527      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4121/  |     0.0016    |       0.9598      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4164/  |     0.0013    |       0.949       |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4213/  |     0.0011    |       0.9613      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4225/  |     0.001     |       0.9734      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4276/  |     0.0014    |       0.953       |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4278/  |     0.0009    |       0.9575      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4288/  |     0.0039    |       0.9074      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4350/  |     0.0007    |       0.9527      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4387/  |     0.0005    |       0.9508      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4388/  |     0.0006    |       0.9699      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4401/  |     0.0007    |       0.9659      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4441/  |     0.0014    |       0.9473      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4448/  |     0.0005    |       0.8892      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4488/  |     0.0007    |        0.96       |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4516/  |     0.0006    |       0.9691      |
|  /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4576/  |     0.001     |       0.941       |
