Category: CN
Subjects: 51
Matrix: CM
Total time (s): 10323.60
+---------------+-------------+------------------+-----------------+
| Avg MSE test  | SD MSE test | Avg Pearson test | SD Pearson test |
+---------------+-------------+------------------+-----------------+
|     0.0599    |     0.04    |       0.86       |       0.12      |
+---------------+-------------+------------------+-----------------+
+------------------------------------------------------------+--------------+------------------+
|                             ID                             | Avg MSE test | Avg Pearson test |
+------------------------------------------------------------+--------------+------------------+
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0031/ |    0.0367    |       0.72       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0074/ |    0.0592    |       0.89       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0120/ |    0.0869    |       0.88       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0337/ |    0.0434    |       0.78       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0419/ |    0.0636    |       0.88       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0602/ |    0.0408    |       0.85       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0610/ |    0.041     |       0.95       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN0751/ |    0.0415    |       0.9        |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1190/ |    0.0694    |       0.5        |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1261/ |    0.0375    |       0.92       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN1280/ |    0.0751    |       0.85       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4081/ |    0.062     |       0.85       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4084/ |    0.2449    |       0.26       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4105/ |    0.0328    |       0.93       |
| /home/hippo/Luca/ADNI_Dataset/ADNI/derivatives/sub-CN4119/ |    0.0689    |       0.92       |
